Date,Move Minutes count,Average systolic blood pressure (mmHg),Max systolic blood pressure (mmHg),Min systolic blood pressure (mmHg),Average diastolic blood pressure (mmHg),Max diastolic blood pressure (mmHg),Min diastolic blood pressure (mmHg),Body position,Blood pressure measurement location,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
2017-07-08,,,,,,,,,,501.19559142292167,,,,,,,,,,,,,,,,,,,,,,,40,,,,,24716495,
2017-07-09,,,,,,,,,,1780.440924562572,,,,,,,,,,,,,,,,,,,,9.222928074560032,21.755746841430664,0.5,1279,,,,,75834179,500917
2017-07-10,,,,,,,,,,1795.1627861268576,178.44367170333862,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,1383,,,,,78633603,760206
2017-07-11,,,,,,,,,,702.7534189112085,,,,,,,,,,,,,,,,,,,,,,,644,,,,,32165832,315171
2023-06-05,23,133.09720279720278,135.0,130.0,72.61118881118881,75.0,67.0,,,,1181.121689911197,,,66.83020134228188,102.0,54.0,,,,,95.93304036011054,99.0,92.80000305175781,0.0,0.0,0.0,,,,0.1842175606152473,1.8288887565746046,0.011864406577611373,1792,62.66321876762014,65.25,50.099998474121094,,,
2023-06-06,7,132.0,136.0,128.0,77.0,77.0,77.0,,,,789.3534389565265,,,63.16296038915914,89.0,49.0,,,,,96.63343723126071,98.69999694824219,88.69999694824219,0.0,0.0,0.0,,,,0.1846761684652429,0.7961616620606792,0.04745762631044549,1229,,,,,,
2023-06-07,23,122.0,122.0,122.0,70.0,70.0,70.0,,,1490.1575512886047,1215.8297892994983,1.0,1,65.72411396803335,93.0,51.0,,,,,94.81178851808397,98.0999984741211,91.4000015258789,0.0,0.0,0.0,,,,0.15491724642913918,1.6984104589335467,0.035593218722585904,1932,,,,,,
2023-06-08,5,117.0750715983182,123.0,115.0,78.4249284016818,83.0,74.0,,,1490.1575512886047,501.15482035278274,,,64.17373175816539,91.0,51.0,,,,,95.28468964238282,97.4000015258789,92.9000015258789,0.0,0.0,0.0,,,,0.1900367311381427,0.5186440742621987,0.04745762631044549,854,64.9000015258789,64.9000015258789,64.9000015258789,,,
2023-06-09,16,119.0,119.0,119.0,78.0,78.0,78.0,,,1059.166084600727,867.4832268966668,10.0,10,68.05663655316192,110.0,50.0,,,,,94.78718405376091,98.5,91.30000305175781,0.0,0.0,0.0,,,,0.2203104945892884,0.5685336239115975,0.011864406577611373,1357,64.8499984741211,64.8499984741211,64.8499984741211,650297,,
2023-06-10,17,127.0,127.0,127.0,70.0,70.0,70.0,,,,956.4668399427956,,,66.17824878387769,95.0,54.0,,,,,93.95291879692361,99.69999694824219,85.69999694824219,0.0,0.0,0.0,,,,0.15335958427644208,0.6762712123030323,0.011864406577611373,1509,65.9000015258789,65.9000015258789,65.9000015258789,,,
2023-06-11,9,116.5,118.0,115.0,72.0,74.0,70.0,,,1500.0000042915347,1022.5875326097215,,,65.81514940931203,112.0,51.0,,,,,92.66994531195408,98.5,83.80000305175781,0.0,0.0,0.0,,,,0.1829833937930869,1.1593220597606595,0.011864406577611373,1548,64.75,64.75,64.75,,,
2023-06-12,13,118.0,118.0,118.0,77.0,77.0,77.0,,,1349.9826427512203,1205.9132928208348,,,66.70747520976354,95.0,51.0,,,,,96.44693904020347,99.4000015258789,89.30000305175781,0.0,0.0,0.0,,,,0.16745315367552238,0.9662255851335996,0.011864406577611373,1849,65.0999984741211,65.0999984741211,65.0999984741211,,,
